# step time[s] dt[s] max_speed[m/s] max_vorticity[1/s] max_delta_omega poisson_iters
0 0.0000000000e+00 0.0000000000e+00 4.0019357458e+01 8.0039659067e+06 0.0000000000e+00 180
1 1.4280693421e-06 1.4280693421e-06 4.0328599914e+01 5.4478455112e+06 1.1259681159e+06 180
40 5.7122773683e-05 1.4280693421e-06 4.0309665254e+01 7.7177597922e+05 9.0934281498e+03 78
80 1.1424554737e-04 1.4280693421e-06 4.0300454846e+01 5.4397554713e+05 3.3047008535e+03 46
120 1.7136832105e-04 1.4280693421e-06 4.0293151054e+01 4.4400827200e+05 1.8153820448e+03 27
160 2.2849109473e-04 1.4280693421e-06 4.0287374723e+01 3.8462016211e+05 1.1847449328e+03 14
200 2.8561386841e-04 1.4280693421e-06 4.0282557363e+01 3.4417996620e+05 8.5028010905e+02 4
240 3.4273664210e-04 1.4280693421e-06 4.0277154688e+01 3.1437329173e+05 6.4833884772e+02 1
280 3.9985941578e-04 1.4280693421e-06 4.0273553499e+01 2.9139098717e+05 5.1568505601e+02 1
320 4.5698218946e-04 1.4280693421e-06 4.0269242184e+01 2.7293929812e+05 4.2294704832e+02 1
360 5.1410496315e-04 1.4280693421e-06 4.0266259958e+01 2.5768689025e+05 3.5508432337e+02 1
400 5.7122773683e-04 1.4280693421e-06 4.0261297414e+01 2.4480757194e+05 3.0375917078e+02 1
440 6.2835051051e-04 1.4280693421e-06 4.0259582862e+01 2.3380515194e+05 2.6388477479e+02 1
480 6.8547328419e-04 1.4280693421e-06 4.0256382253e+01 2.2431643915e+05 2.3204592734e+02 1
520 7.4259605788e-04 1.4280693421e-06 4.0251896263e+01 2.1596774985e+05 2.0622098856e+02 1
560 7.9971883156e-04 1.4280693421e-06 4.0250538628e+01 2.0854803455e+05 1.8492557541e+02 1
600 8.5684160524e-04 1.4280693421e-06 4.0248269295e+01 2.0190211782e+05 1.6718366669e+02 1
640 9.1396437893e-04 1.4280693421e-06 4.0244892270e+01 1.9597170433e+05 1.5210583341e+02 1
